MJD	FLUX_100_300000	ERROR_100_300000
54914.500743	1.360110e-07	8.192425e-10
54915.500743	4.859930e-07	1.470612e-07
54916.500743	2.804653e-07	9.145732e-08
54917.500743	2.054230e-07	2.605997e-08
54918.500743	1.436781e-07	2.027994e-09
54919.500743	1.167923e-07	3.886178e-08
54920.500743	4.098958e-07	8.909994e-08
54921.500743	1.440258e-07	1.311272e-08
54922.500743	2.769327e-07	8.244560e-08
54923.500743	7.539127e-08	3.984693e-09
54924.500743	7.816512e-08	2.292617e-10
54925.500743	1.347134e-06	3.109370e-07
54926.500743	1.009712e-07	6.478893e-09
54927.500743	1.316933e-07	2.053229e-08
54928.500743	1.701576e-07	5.585340e-08
54929.500743	1.386960e-07	5.443259e-08
54930.500743	1.462571e-07	3.940175e-09
54931.500743	1.571454e-07	5.374230e-08
54932.500743	1.038991e-07	1.146910e-09
54933.500743	4.560532e-07	1.641520e-07
54934.500743	9.605092e-08	3.787590e-08
54935.500743	2.317147e-07	1.018836e-07
54936.500743	2.648709e-07	9.681457e-08
54937.500743	1.080293e-07	8.038249e-09
54938.500743	2.604528e-07	1.135588e-07
54939.500743	2.041230e-07	3.501177e-08
54940.500743	5.956579e-07	1.089959e-07
54941.500743	2.323519e-07	1.248046e-07
54942.500743	8.490159e-07	1.211296e-07
54943.500743	2.034696e-07	6.247274e-08
54944.500743	3.766527e-07	1.180479e-07
54945.500743	4.331789e-07	1.388375e-07
54946.500743	1.380582e-07	9.771209e-08
54947.500743	9.062668e-08	3.610391e-08
54948.500743	2.367701e-07	7.810011e-08
54949.500743	3.307480e-07	9.760710e-08
54950.500743	2.439743e-07	8.904715e-08
54951.500743	1.528435e-07	1.236554e-08
54952.500743	2.740829e-07	1.207594e-08
54953.500743	1.667068e-07	5.855352e-08
54954.500743	3.588951e-07	1.182252e-07
54955.500743	3.055909e-07	1.039420e-07
54956.500743	2.461571e-07	7.857766e-08
54957.500743	5.304688e-07	1.600143e-07
54959.500743	9.120954e-08	1.341815e-08
54960.500743	2.169298e-07	8.892860e-08
