JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458131.493514	15.270	0.011		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.133	Z	-13.421	14.900	2458131.49891	OJ 287	AAVSO	STD				
2458131.505523	14.768	0.009		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.111	Z	-13.961	14.508	2458131.51092	OJ 287	AAVSO	STD				
2458131.517533	14.460	0.011		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.095	Z	-13.467	14.411	2458131.52293	OJ 287	AAVSO	STD				
2458131.584	14.926			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458131.585	14.535			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458131.685	15.497			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458131.692	14.932			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458131.696	14.534			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458131.697917	14.961	0.014		V	DAM		146		X15649LOX		0		Z	14.318			OJ 287	AAVSO	STD				
2458132.52051	14.949	0.074		V	GCO		ENSAMBLE	000-BBQ-043	7193UE	EXP.TIME= 3X300SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA'	0	1.112	Z		12.843		OJ 287	AAVSO	STD	0			
2458132.687	15.433			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458132.690	14.919			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458132.695	14.536			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458132.9	14.8			Vis.	MOW		146	149	10317DOG				Z				OJ 287	AAVSO	STD				
2458133.461755	14.896	0.031		V	AFSA		NA	000-BLX-797	X22962I		0	1.271	Z		13.327	2458133.46721	OJ 287	AAVSO	STD				
2458133.462455	14.795	0.029		V	AFSA		NA	000-BLX-797	X22962I		0	1.267	Z		13.327	2458133.46791	OJ 287	AAVSO	STD				
2458133.463165	14.665	0.028		V	AFSA		NA	000-BLX-797	X22962I		0	1.264	Z		13.327	2458133.46862	OJ 287	AAVSO	STD				
2458133.510	14.876			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458133.510	14.541			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
